# id	owner	basis	source_paths	probe	postgres_behavior	status
dynamic-linking	wasmer	upstream-code-plus-local-stack-handle-fix	wasmer:lib/wasix/src/state/linker.rs;wasmer:lib/wasix/src/state/handles/mod.rs;wasmer:lib/wasix/tests/wasm_tests/dynamic_library_tests/fork-dlopen	dynamic-dlopen;dynamic-fork-dlopen;wasmer-wasix:test_fork_dlopen	LOAD and CREATE EXTENSION side modules through WASIX dynamic linking	status: proven for EH/PIC dynamic-main loading, inherited side-module function visibility after copied fork, and child-only dlopen after copied fork; dynamic-dlopen, dynamic-vfork-exec, dynamic-fork-dlopen, and dynamic-fork-indirect passed with strict dynamic mode on restored release Wasmer 3a31d994ee652b754174b68b5884e54b6d1aecb31a54b1c9fb19f1c798e870d5
process-fork-copy-memory	wasmer	upstream-code-plus-local-native-continuation	wasmer:lib/wasix/src/syscalls/wasix/proc_fork.rs;wasmer:lib/wasix/src/runtime/task_manager/mod.rs;wasmer:lib/wasix/src/state/linker.rs;wasmer:lib/compiler-llvm/src/compiler.rs;wasmer:lib/compiler-llvm/src/translator/code.rs;wasmer:lib/compiler-llvm/src/translator/state.rs;wasmer:lib/vm/src/store.rs	proc-fork-pic;dynamic-fork-dlopen;dynamic-fork-indirect;libc-eh-fork;wasmer-wasix:test_fork_dlopen;wasmer-wasix:test_fork_indirect;verifier:pg_dump	Postmaster backend creation with copied process memory and child wait	status: static-main and EH/PIC dynamic-main copied fork are probed; LLVM native continuation frames resume direct calls and signature-reachable indirect calls, with non-empty operand-stack capture limited to control-local prefixes to preserve LLVM dominance; dynamic copied instance groups detach linker coordination from the parent process, child state is adopted only after continuation capture; dynamic fork/dlopen and indirect-fork probes passed on restored release Wasmer 3a31d994ee652b754174b68b5884e54b6d1aecb31a54b1c9fb19f1c798e870d5, and pg_dump compiled with LLVM verifier
stack-rlimit	wasmer+wasix-libc	local-runtime-and-libc-patches	wasmer:lib/wasix/src/syscalls/wasix/proc_rlimit_get.rs;wasmer:lib/wasix/src/runtime/mod.rs;wasmer:lib/cli/src/commands/run/mod.rs;wasix-libc:libc-top-half/musl/src/misc/getrlimit.c;wasix-libc:libc-bottom-half/headers/public/wasi/api_wasix.h;wasix-libc:libc-bottom-half/sources/__wasixlibc_real.c	rlimit-stack;pg_regress:infinite_recurse	PostgreSQL max_stack_depth must trip before Wasmer host stack exhaustion	status: WASIX proc_rlimit_get reports runtime-owned RLIMIT_STACK derived from Wasmer stack policy and capped by guest stack; wasix-libc getrlimit consumes that syscall; PostgreSQL regression infinite_recurse raises SQL stack-depth error instead of crashing the backend
libc-eh-fork	wasix-libc	local-libc-patch	wasix-libc:libc-top-half/musl/include/unistd.h;wasix-libc:libc-top-half/musl/src/process/fork.c;wasix-libc:libc-top-half/musl/src/process/_Fork.c	libc-eh-fork	Standard POSIX fork surface for EH/PIC builds	status: fork/_Fork link from wasix-libc EH/PIC and use the WASIX proc_fork path; probe now succeeds with child wait under the patched runtime
shared-file-mmap	wasmer+wasix-libc	local-runtime-and-libc-patches	wasmer:lib/wasix/src/syscalls/wasix/mem_mmap.rs;wasmer:lib/vm/src/memory.rs;wasmer:lib/vm/src/mmap.rs;wasix-libc:libc-bottom-half/mman/mman.c	mmap-fixed;mmap-writeback;spawn-shmem-reattach;dynamic-fork-dlopen	PostgreSQL shared memory, DSM, and fixed-address backend reattach	status: fixed-address mmap, writeback, spawn reattach, and dynamic copied-fork remap replay are probed
process-shared-futex	wasmer	local-runtime-patch	wasmer:lib/wasix/src/state/mod.rs;wasmer:lib/wasix/src/syscalls/wasix/futex_wait.rs;wasmer:lib/wasix/src/syscalls/wasix/futex_wake.rs;wasmer:lib/wasix/src/syscalls/wasix/futex_wake_all.rs;wasmer:lib/wasix/src/syscalls/wasix/mem_mmap.rs	shared-futex-fork;query-perf:bulk-insert+unlogged-bulk-insert;query-perf:full-100k	WAL/LWLock progress over file-backed MAP_SHARED memory after fork and shared-memory reattach	status: shared-futex-fork probe passes against patched release Wasmer; runtime state tests pass; PostgreSQL 100k logged WAL write no longer times out and the full native/WASIX 100k query suite completes under the patched release Wasmer
wait-sigchld	wasmer+wasix-libc	local-runtime-and-libc-patches	wasmer:lib/wasix/src/syscalls/wasix/proc_join.rs;wasix-libc:libc-top-half/musl/src/process/waitpid.c;wasix-libc:libc-top-half/musl/src/signal/sigaction.c	posix-spawn-sigchld;waitpid-wnohang-any;posix-spawn-blocking-wait;smoke:release-o3-initdb	Postmaster child lifecycle, SIGCHLD handling, and nonblocking wait	status: spawn/wait probes pass; wasix-libc default signal dispatch no longer routes internal default behavior through an indirect table entry; o3-thinlto, o3-wasmopt, and release-o3 initdb now process SIGCHLD cleanly under Wasmer
epoll-sockets	wasmer+wasix-libc	local-runtime-and-libc-patches	wasmer:lib/virtual-net/src/host.rs;wasmer:lib/virtual-net/src/tests.rs;wasmer:lib/wasix/src/os/epoll/mod.rs;wasmer:lib/wasix/src/syscalls/wasix/epoll_wait.rs;wasmer:lib/wasix/src/syscalls/mod.rs;wasmer:lib/wasix/src/state/env.rs;wasix-libc:libc-top-half/musl/src/linux/epoll.c;experiment:bin/bench-wasix-concurrent-query-suite.sh	epoll-listen-accept;epoll-listen-external;epoll-listen-external-after-pipe;virtual-net:test_local_tcp_listener_reports_readable_while_accept_backlog_remains;wasmer-wasix:epoll;concurrent-query-suite	PostgreSQL postmaster socket readiness and client accept loop	status: local TCP listener accept readiness is level-triggered across queued inbound connection bursts; host-only Sigwakeup notifications are drained without surfacing guest EINTR while real guest signals still interrupt; expected guest-signal EINTR from PostgreSQL SIGCHLD/SIGURG is traced rather than warned as a runtime failure; concurrent query suite records fanout throughput, verification counts, timeouts, and repeated epoll warning count for indexed reads, mixed writes, indexed updates, and indexed inserts; release-o3 rebuilt Wasmer hash 2ce6b09de8327dbc55e63bcaed7e6f41157f770d9ebabaed54f28b35dc220a2d passed the 4-connection/100-iteration native-vs-WASIX suite with zero repeated epoll warning count
socket-flags	wasix-libc	local-libc-patch	wasix-libc:libc-bottom-half/cloudlibc/src/libc/sys/socket/socket.c;wasix-libc:libc-bottom-half/cloudlibc/src/libc/fcntl/fcntl.c	socket-nonblock	Nonblocking libpq/socket teardown and CLOEXEC semantics	status: probed; PostgreSQL psql teardown smoke passed in prior run
host-sync-open	wasmer	local-runtime-patch	wasmer:lib/virtual-fs/src/lib.rs;wasmer:lib/virtual-fs/src/host_fs.rs;wasmer:lib/wasix/src/syscalls/wasix/path_open2.rs;wasmer:lib/wasix/src/syscalls/wasi/fd_write.rs	query-perf:o3-native-sync-open-open_datasync;query-perf:o3-warm-open_datasync-single-iov-fastpath;blocker:mmap-writeback;blocker:dynamic-fork-dlopen	PostgreSQL WAL open_datasync/write-through latency	status: host files propagate WASIX O_SYNC/O_DSYNC into native host open flags when available and skip explicit per-write sync when the backend proves native sync-on-write; current o3 warm open_datasync run is better than native on the measured insert/update pair (283/504 ms WASIX vs 351/579 ms native)
host-blocking-file-ops	wasmer	local-runtime-patch	wasmer:lib/virtual-fs/src/lib.rs;wasmer:lib/virtual-fs/src/host_fs.rs;wasmer:lib/wasix/src/fs/mod.rs;wasmer:lib/wasix/src/syscalls/wasi/fd_write.rs;wasmer:lib/wasix/src/syscalls/wasi/fd_datasync.rs;wasmer:lib/wasix/src/syscalls/wasi/fd_sync.rs	query-perf:o3-wal-io-stats-fdatasync-zero-write;query-perf:o3-wal-io-stats-fdatasync-single-iov-fastpath;query-perf:o3-warm-fdatasync-single-iov-fastpath;query-perf:cc85-fdfile-readlock-refactor-5m-nocount-repeat1;query-perf:cc85-fdfile-readlock-four-warmup1-repeat1;profile:a70c-fdfile-readlock-unlogged-constant-nocount-5m-profile;smoke:release-o3-initdb;blocker:mmap-writeback;blocker:dynamic-fork-dlopen	PostgreSQL WAL positioned writes and explicit sync latency	status: host regular files expose opt-in native blocking pwrite/pwritev/zero-write/fsync/fdatasync primitives; WASIX uses them only when the backend advertises support, with async virtual-file fallback preserved; repeated zero ciovecs now use a verified zero-write path and make 16 MiB WAL init native-level (2.29 ms write + 1.37 ms sync WASIX vs 2.20 ms + 1.52 ms native); fd_write/fd_pwrite now clone a stable regular-file handle under the inode read lock and reserve the inode kind write lock for mutable non-file variants; release-o3 initdb still passes, 5M unlogged-constant-insert-nocount improved from 5687.292 ms on 00b0 to 3745.503 ms on cc85, and the 100k four-workload geomean stayed flat at about 1.226x native; sampled pwrite/fd_write cost is no longer dominant, leaving tuple-heavy JITted PostgreSQL indirect-call/storage paths as the next material gap
llvm-native-cpu	wasmer	local-compiler-patch	wasmer:lib/compiler-llvm/src/config.rs;experiment:lib/common.sh;experiment:bin/precompile-wasix-core.sh;experiment:bin/bench-wasix-query-suite.sh	query-perf:o3-llvm-nativecpu-unlogged;query-perf:o3-wasmopt-nativecpu-unlogged;query-perf:release-o3-nativecpu-unlogged	Host-tuned LLVM JIT/cache experiments for warm PostgreSQL query paths	status: opt-in WASMER_LLVM_NATIVE_CPU=1 selects the host CPU model only for host-architecture LLVM targets and segregates cache artifacts; measured gains are small and workload-dependent, so this remains an explicit tuning experiment rather than a default portability change
llvm-full-o3-pipeline	wasmer+experiment	local-compiler-and-harness-patch	wasmer:lib/compiler-llvm/src/config.rs;wasmer:lib/compiler-llvm/src/translator/code.rs;wasmer:lib/cli/src/backend.rs;experiment:lib/common.sh;experiment:bin/bench-wasix-query-suite.sh	query-perf:7bc4-fullo3-four-warmup1-repeat1;query-perf:7bc4-fullo3-four-warmup1-repeat2;query-perf:7bc4-fullo3-indexed-hot-warmup1-repeat1	Explicit LLVM full default<O3> pipeline and warm-path benchmark discipline	status: Wasmer exposes --llvm-full-o3-pipeline as an opt-in compiler setting, experiment caches are segregated, and query benchmarks can run unrecorded warmup passes before timing; with one warmup pass, release-o3 md5 is below native on repeated runs, indexed-read-hot is near native on absolute WASIX time, and unlogged writes remain the next material gap
llvm-indirect-call-cache	wasmer	local-compiler-and-vm-patch	wasmer:lib/vm/src/vmcontext.rs;wasmer:lib/vm/src/table.rs;wasmer:lib/types/src/vmoffsets.rs;wasmer:lib/compiler-llvm/src/config.rs;wasmer:lib/compiler-llvm/src/translator/intrinsics.rs;wasmer:lib/compiler-llvm/src/translator/code.rs;wasmer:lib/cli/src/backend.rs;experiment:lib/common.sh;experiment:bin/bench-wasix-query-suite.sh;experiment:bin/precompile-wasix-core.sh	dynamic-fork-indirect:default;dynamic-fork-indirect:--llvm-indirect-call-cache;smoke:release-o3-initdb-skip-precompile;query-perf:3c31-table-generation-default-four-warmup1-repeat1;query-perf:3c31-table-generation-default-unlogged-constant-repeat2;query-perf:c4fc-indirectcache-indexed-constant-warmup1-repeat1	Mutable-table indirect-call validation fast path	status: VMTableDefinition now carries a table generation counter and all table grow/set/copy/init/fill mutations invalidate it; LLVM exposes --llvm-indirect-call-cache as an opt-in guarded per-callsite cache keyed by function-table index plus generation, preserving dynamic-linker table updates and copied-fork side-module visibility; the experiment harness now uses WASMER_LLVM_INDIRECT_CALL_CACHE=1 to pass the flag and segregate cache dirs/buckets; focused dynamic-fork-indirect passes both with the default path and the opt-in cache on final c4fc Wasmer, and final c4fc default release-o3 initdb smoke passes; first opt-in query run did not justify promotion (indexed-read 3.774 ms WASIX vs 2.302 ms native, unlogged-constant-insert 86.770 ms WASIX vs 62.559 ms native), and the cache remains non-default with a 16 KiB function-body guard because an all-callsite full-Postgres run showed large LLVM register-allocation compile-time pressure before it was gated
llvm-anyfunc-table-shadow	wasmer	local-compiler-and-vm-patch	wasmer:lib/vm/src/vmcontext.rs;wasmer:lib/vm/src/table.rs;wasmer:lib/vm/src/instance/mod.rs;wasmer:lib/types/src/vmoffsets.rs;wasmer:lib/compiler-llvm/src/translator/intrinsics.rs;wasmer:lib/compiler-llvm/src/translator/code.rs	wasmer-vm:table;dynamic-fork-dlopen;dynamic-fork-indirect;smoke:release-o3-initdb-skip-precompile;query-perf:6038-anyfunc-shadow-four-warmup1-repeat1;query-perf:6038-anyfunc-shadow-5m-nocount-repeat2	Mutable/imported funcref indirect-call pointer-chase reduction	status: VMTableDefinition carries a funcref-only caller-checked anyfunc shadow pointer, VMTable allocates it for funcref tables and updates it on grow/set/copy paths, and LLVM loads caller-checked records directly for non-fixed funcref call_indirect; Wasmer 6038a748719e400b473d4f8925f526a97fde17feeb748aee4190eb3d08a644b2 passes VM table/layout tests, dynamic-fork-dlopen, dynamic-fork-indirect, and release-o3 initdb smoke; PostgreSQL query impact is neutral rather than promotable so far (100k four-workload geomean 1.237x native; 5M unlogged-constant-insert-nocount repeat2 3865.976 ms WASIX vs 2496.125 ms native, about 1.55x)
