# id	owner	basis	source_paths	probe	postgres_behavior	status
source-identity	oliphaunt	pinned-production-inputs	project:sources.lock.toml;project:runtime/bin/verify-source-lock.py	source-lock	Reject mismatched PostgreSQL, Wasmer, wasix-libc, gitlink, or patch inputs before building	supported
runtime-build-receipt	oliphaunt	exact-build-provenance	project:lib/common.sh;project:runtime/bin/build-runtime.sh	common-receipt-negative-tests	Select only the receipt-bound producer and executor for the current host ABI	supported
postmaster-product-executor	oliphaunt+wasmer	compiler-free-product-role	project:runtime/bin/build-runtime.sh;project:bin/build-sealed-headless-carrier.sh;project:lib/verify-sealed-carrier.py	unit:postmaster-executor-cli	Run only the admitted initdb/postgres carrier without general Wasmer commands	supported
postmaster-host-task-budget	oliphaunt+wasmer	bounded-product-profile	project:profiles/runtime-task-budgets/embedded-postmaster-v1.tsv;project:profiles/runtime-footprints/embedded-concurrent-v1.gucs	unit:concurrent-task-CAS	Reject work beyond the receipt-bound process and blocking-worker budget	supported
sealed-host-carrier	oliphaunt	immutable-complete-payload	project:bin/build-sealed-headless-carrier.sh;project:bin/verify-sealed-headless-carrier.sh;project:lib/verify-sealed-carrier.py	sealed-carrier-builder-tests	Verify every payload byte, module, AOT artifact, receipt, and manifest before execution	supported
sealed-side-module-closure	oliphaunt+postgres	policy-derived-complete-closure	project:runtime/policies/sealed-side-modules.v1.tsv;project:lib/guest_build_provenance.py;project:lib/verify-sealed-carrier.py	sealed-carrier-builder-tests	Package every declared PostgreSQL loadable side module and byte-identical alias	supported
exec-backend-fresh-instance	wasmer+postgres	selected-process-model	wasmer:lib/wasix/src/bin_factory/exec.rs;project:postgres/patches/0004-wasix-core-execbackend-initdb-runtime.patch	spawn-shmem-reattach	Create each backend in a fresh instance and restore only explicit PostgreSQL handoff state	supported
dynamic-linking	wasmer+postgres	sealed-declared-modules	wasmer:lib/wasix/src/state/linker.rs;project:runtime/policies/sealed-side-modules.v1.tsv	dynamic-dlopen	Load only carrier-declared PostgreSQL side modules through the sealed linker	supported
shared-file-mmap	wasmer+wasix-libc+postgres	fixed-address-shared-backing	wasmer:lib/wasix/src/syscalls/wasix/mem_mmap.rs;project:postgres/overlays/wasix-core/src/backend/port/sysv_shmem.c	mmap-fixed;spawn-shmem-reattach	Reattach coherent PostgreSQL shared memory at the exact guest address	supported-linux-gnu
cross-process-file-size	wasmer+postgres	authoritative-host-handle-metadata	wasmer:lib/wasix/src/fs/mod.rs;wasmer:lib/wasix/src/syscalls/wasi/fd_seek.rs	unit:host-file-size-refresh;stress:backend-wave	Observe relation-file extensions made by another backend in filestat and SEEK_END	supported
shared-mapping-lifecycle	wasmer	generation-safe-owned-registry	wasmer:lib/wasix/src/state/mod.rs;wasmer:lib/wasix/src/syscalls/wasix/mem_mmap.rs	unit:shared-futex-registry-churn	Remove mapping and futex registry state on final ownership release without inode ABA	supported
cross-instance-latch-order	wasmer+postgres	packed-atomic-state-and-fences	wasmer:lib/compiler-llvm/src/translator/code.rs;project:postgres/patches/0008-wasix-packed-atomic-latch-state.patch	final-module:atomic-latch-state;stress:backend-wave	Preserve PostgreSQL latch progress across instances sharing one backing	supported
listener-epoll	wasmer+wasix-libc	open-file-description-lifecycle	wasmer:lib/wasix/src/os/epoll/mod.rs;project:runtime/probes/epoll_ofd_lifecycle_probe.c	epoll-ofd-lifecycle	Keep listener readiness and duplicated descriptor registration semantics correct	supported-linux-gnu
child-wait-and-signals	wasmer+wasix-libc+postgres	retry-and-owned-process-state	project:postgres/patches/0006-wasix-retry-proc-join-on-eintr.patch;wasmer:lib/wasix/src/os/task/process.rs	exec-wait-signal	Preserve child exit, signal, interruption, and cleanup semantics	supported
aot-artifact-identity	wasmer+oliphaunt	receipt-bound-generic-baseline	wasmer:lib/compiler-llvm/src/compiler.rs;wasmer:lib/oliphaunt-wasix-postmaster-executor/src/bin/compiler.rs;project:lib/verify-sealed-carrier.py	unit:sealed-manifest-cpu-policy	Reject AOT from another target, CPU policy, runtime ABI, artifact ABI, or guest module	supported
directory-durability	wasmer+postgres	exact-open-directory-fsync	wasmer:lib/virtual-fs/src/host_fs.rs;project:runtime/probes/directory_fsync_probe.c	directory-fsync	Apply PostgreSQL directory durability barriers to the exact opened directory	supported-linux-gnu
regression-subset	postgres	product-lifecycle-harness	project:bin/run-wasix-regress-subset.sh	pg-regress-subset	Run PostgreSQL regression cases through the real postmaster and libpq	supported
immutable-deployment	oliphaunt	atomic-no-replace-publication	project:bin/deploy-immutable-sealed-carrier.sh;project:bin/verify-immutable-sealed-carrier.sh;project:lib/immutable-carrier.py	immutable-carrier-tests	Deploy and verify one immutable carrier closure without mixed-build payloads	supported-linux-gnu
